Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.25     0.00        4     0.00     0.00  parse_stmt_do
  0.00      0.25     0.00        2     0.00     0.00  intern_arena_end
  0.00      0.25     0.00        2     0.00     0.00  new_stmt_expr
  0.00      0.25     0.00        2     0.00     0.00  new_sym_project
  0.00      0.25     0.00        1     0.00     0.00  arena_grow
  0.00      0.25     0.00        1     0.00     0.00  intern_free
  0.00      0.25     0.00        1     0.00     0.00  new_expr_index
  0.00      0.25     0.00        1     0.00     0.00  new_stmt_do_until
  0.00      0.25     0.00        1     0.00     0.00  new_stmt_do_until_loop
  0.00      0.25     0.00        1     0.00     0.00  new_stmt_do_while
  0.00      0.25     0.00        1     0.00     0.00  new_stmt_do_while_loop
  0.00      0.25     0.00        1     0.00     0.00  new_stmt_while
  0.00      0.25     0.00        1     0.00     0.00  parse_stmt_do_until_loop
  0.00      0.25     0.00        1     0.00     0.00  parse_stmt_do_while_loop
  0.00      0.25     0.00        1     0.00     0.00  parse_stmt_while
  0.00      0.25     0.00        1     0.00     0.00  test_builtin_funcs
  0.00      0.25     0.00        1     0.00     0.00  test_code
  0.00      0.25     0.00        1     0.00     0.00  test_expr
  0.00      0.25     0.00        1     0.00     0.00  test_keywords
  0.00      0.25     0.00        1     0.00     0.01  test_lex
  0.00      0.25     0.00        1     0.00     0.18  test_parse
  0.00      0.25     0.00        1     0.00     0.00  test_select_case

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

